Japanese,English,Reading
ウェイ,way,ウェイ
ウェストバージニア,West Virginia,ウェストバージニア
ウェディング,wedding,ウェディング
ウェハ,wafer,ウェハ
ウェブ,Web,ウェブ
ウェルダン,well-done (of meat),ウェルダン
ウェイティングサークル,on-deck circle,ウェイティングサークル
ウェイティングルーム,waiting room,ウェイティングルーム
ウエイトトレーニング,weight training,ウエイトトレーニング
ウエイトリフティング,weight lifting,ウエイトリフティング
ウェーブ,wave (on water),ウェーブ
ウェーブフロント,wavefront (laser eye surgery),ウェーブフロント
ウェアハウス,warehouse,ウェアハウス
ウェザー,weather,ウェザー
ウェザーコック,weathercock,ウェザーコック
ウエスタン,Western (film genre),ウエスタン
ウエスタングリップ,Western grip (tennis),ウエスタングリップ
ウエスタンリーグ,Western League (one of the two minor leagues of Japanese professional baseball),ウエスタンリーグ
ウエスト,waist,ウエスト
ウエストエンド,West End (London),ウエストエンド
ウエストコースト,West Coast (of the US),ウエストコースト
ウエストコート,waistcoat,ウエストコート
ウエストサイド,West Side (New York),ウエストサイド
ウエストニッパー,waist nipper,ウエストニッパー
ウエストボール,waste pitch,ウエストボール
ウエストライン,waistline,ウエストライン
ウェッジソール,wedge sole,ウェッジソール
ウェット,wet,ウェット
ウェットカット,wet cut,ウェットカット
ウェットスーツ,wetsuit,ウェットスーツ
ウェディングケーキ,wedding cake,ウェディングケーキ
ウェディングドレス,wedding dress,ウェディングドレス
ウェディングベール,wedding veil,ウェディングベール
ウェディングベル,wedding bell,ウェディングベル
ウェディングマーチ,wedding march,ウェディングマーチ
ウェディングリング,wedding ring,ウェディングリング
ウエハース,wafer,ウエハース
ウェルカム,welcome,ウェルカム
ウォーカソン,walkathon,ウォーカソン
ウォーキートーキー,walkie-talkie,ウォーキートーキー
ウォーキールッキー,walkie-lookie,ウォーキールッキー
ウォーキングシューズ,walking shoes,ウォーキングシューズ
ウォーキングディクショナリー,walking dictionary,ウォーキングディクショナリー
ウォークスルー,(structured) walk through,ウォークスルー
ウォークライ,war cry,ウォークライ
ウォークラリー,walk rally,ウォークラリー
ウォーゲーム,war game,ウォーゲーム
ウォーターカラー,watercolor,ウォーターカラー
ウォータークーラー,watercooler,ウォータークーラー
ウォータークロゼット,water closet,ウォータークロゼット
ウォーターシュート,water chute,ウォーターシュート
ウォータータイト,watertight,ウォータータイト
ウォーターハザード,water hazard,ウォーターハザード
ウォーターフォール,waterfall,ウォーターフォール
ウォーターフロント,waterfront,ウォーターフロント
ウォータープルーフ,waterproof,ウォータープルーフ
ウォーターポロ,water polo,ウォーターポロ
ウォーターメロン,watermelon (Citrullus lanatus),ウォーターメロン
ウォータフォール,waterfall,ウォータフォール
ウォーニングランプ,warning lamp,ウォーニングランプ
ウォーミング,warming,ウォーミング
ウォーミングアップ,warming up,ウォーミングアップ
ウォーム,worm,ウォーム
ウォームアップ,warm-up,ウォームアップ
ウォームギア,worm gear,ウォームギア
ウォールナット,walnut,ウォールナット
ウォストーク,Vostok (Soviet space craft),ウォストーク
ウォッカ,vodka,ウォッカ
ワッシャー,washer,ワッシャー
ウォッシャブル,washable,ウォッシャブル
ウォッシュアンドウェア,wash-and-wear (clothing),ウォッシュアンドウェア
ウォッチ,watch (timepiece),ウォッチ
ウォッチドッグ,watchdog,ウォッチドッグ
ウォッチマン,watchman,ウォッチマン
ウォン,won (Korean currency),ウォン
ウォッチング,watching,ウォッチング
烏克蘭,Ukraine,ウクライナ
ウクレレ,ukulele,ウクレレ
ウッド,wood,ウッド
ウッドクラフト,woodcraft,ウッドクラフト
ウッドペッカー,woodpecker,ウッドペッカー
ウムラウト,umlaut,ウムラウト
ウラン,uranium (U),ウラン
宇柳貝,Uruguay,ウルグアイ
ウルグアイラウンド,Uruguay round,ウルグアイラウンド
ウルトラ,ultra,ウルトラ
ウルトラナショナリズム,ultranationalism,ウルトラナショナリズム
